dsd_name,fit_wted,
Addalachchenai,0.906307177,
Agalawatta,0.176390501,
Akkaraipattu,1.123606487,
Akmeemana,1.413740485,
Akurana,2.232243486,
Akuressa,-0.374382584,
Alawwa,0.432242595,
Alayadiwembu,-0.417726362,
Ambagamuwa,-0.530139979,
Ambalangoda,2.065641174,
Ambalantota,-0.659650817,
Ambanganga Korale,-1.551371847,
Ambanpola,-2.351774742,
Ampara,-0.453289073,
Anamaduwa,-2.441197114,
Angunukolapelessa,-1.638849005,
Arachchikattuwa,-1.327879926,
Aranayaka,0.017922461,
Athuraliya,0.244475727,
Attanagalla,2.628234767,
Ayagama,-2.337602961,
Badalkumbura,-2.588294575,
Baddegama,0.314674947,
Badulla,2.065546846,
Balangoda,-0.532588208,
Balapitiya,2.230869519,
Bamunukotuwa,-0.504830994,
Bandaragama,3.42064454,
Bandarawela,1.95002837,
Beliatta,0.366697044,
Bentota,1.001324991,
Beruwala,3.32776493,
Bibila,-2.805668303,
Bingiriya,-1.080541837,
Biyagama,5.28324652,
Bope-Poddala,2.745941637,
Bulathkohupitiya,-0.884432864,
Bulathsinhala,-0.567807852,
Buttala,-2.59897659,
Chilaw,0.998385014,
Colombo,7.662487536,
Damana,-3.1731121,
Dambulla,-1.385903729,
Dankotuwa,1.365561798,
Dehiattakandiya,-2.124355516,
Dehiovita,0.115709908,
Dehiwala,7.244296058,
Delft,-3.4587421,
Delthota,0.058529078,
Deraniyagala,-1.641831007,
Devinuwara,2.169537315,
Dickwella,1.733227204,
Dimbulagala,-2.882360654,
Divulapitiya,1.364657283,
Dodangoda,1.13642218,
Doluwa,0.416744292,
Dompe,1.947389707,
Eheliyagoda,0.52429664,
Ehetuwewa,-2.638835168,
Elahera,-3.02449643,
Elapatha,-0.108154674,
Ella,-0.419102357,
Elpitiya,-0.3857756,
Embilipitiya,-0.496579121,
Irakkamam,-2.084477862,
Eravur Pattu,-1.818653274,
Eravur Town,0.837199866,
Galenbidunuwawa,-2.784194475,
Galewela,-0.788642727,
Galgamuwa,-1.737472761,
Galigamuwa,0.386490785,
