,dsd_name,fit_wted,DSD No,,dsd_name_x,DSD No. lookup
0,Addalachchenai,0.906307177,0,,Dehiwala,46
1,Agalawatta,0.176390501,1,,Maharagama,165
2,Akkaraipattu,1.123606487,2,,Sri Jayawardanapura Kotte,273
3,Akmeemana,1.413740485,3,,Thimbirigasyaya,283
4,Akurana,2.232243486,4,,Rathmalana,259
5,Akuressa,-0.374382584,5,,Negombo,212
6,Alawwa,0.432242595,6,,Kesbewa,130
7,Alayadiwembu,-0.417726362,7,,Kaduwela,102
8,Ambagamuwa,-0.530139979,8,,Nuwaragam Palatha East,221
9,Ambalangoda,2.065641174,9,,Kelaniya,129
10,Ambalantota,-0.659650817,10,,Wattala,314
11,Ambanganga Korale,-1.551371847,11,,Homagama,91
12,Ambanpola,-2.351774742,12,,Gampaha,73
13,Ampara,-0.453289073,13,,Panadura,237
14,Anamaduwa,-2.441197114,14,,Kolonnawa,136
15,Angunukolapelessa,-1.638849005,15,,Ja-Ela,100
16,Arachchikattuwa,-1.327879926,16,,Sainthamarathu,265
17,Aranayaka,0.017922461,17,,Biyagama,34
18,Athuraliya,0.244475727,18,,Moratuwa,197
19,Attanagalla,2.628234767,19,,Thamankaduwa,276
20,Ayagama,-2.337602961,20,,Mahara,164
21,Badalkumbura,-2.588294575,21,,Tangalle,274
22,Baddegama,0.314674947,22,,Matara Four Gravets,181
23,Badulla,2.065546846,23,,Horana,92
24,Balangoda,-0.532588208,24,,Colombo,40
25,Balapitiya,2.230869519,25,,Bandaragama,27
26,Bamunukotuwa,-0.504830994,26,,Katana,121
27,Bandaragama,3.42064454,27,,Kalmunai,106
28,Bandarawela,1.95002837,28,,Kandy Four Gravets and Gangawata Korale,113
29,Beliatta,0.366697044,29,,Kaluthara,109
30,Bentota,1.001324991,30,,Hingurakgoda,90
31,Beruwala,3.32776493,31,,Kurunegala,150
32,Bibila,-2.805668303,32,,Madurawala,160
33,Bingiriya,-1.080541837,33,,Padukka,229
34,Biyagama,5.28324652,34,,Karativu,117
35,Bope-Poddala,2.745941637,35,,Attanagalla,19
36,Bulathkohupitiya,-0.884432864,36,,Ampara,13
37,Bulathsinhala,-0.567807852,37,,Kantale,114
38,Buttala,-2.59897659,38,,Maspotha,179
39,Chilaw,0.998385014,39,,Trincomalee Town and Gravets,288
40,Colombo,7.662487536,40,,Minuwangoda,194
41,Damana,-3.1731121,41,,Vavuniya South,306
42,Dambulla,-1.385903729,42,,Badulla,23
43,Dankotuwa,1.365561798,43,,Beliatta,29
44,Dehiattakandiya,-2.124355516,44,,Tissamaharama,287
45,Dehiovita,0.115709908,45,,Ninthavur,215
46,Dehiwala,7.244296058,46,,Padavi Sri Pura,226
47,Delft,-3.4587421,47,,Harispattuwa,87
48,Delthota,0.058529078,48,,Lankapura,154
49,Deraniyagala,-1.641831007,49,,Chilaw,39
50,Devinuwara,2.169537315,50,,Seethawake,267
51,Dickwella,1.733227204,51,,Nattandiya,208
52,Dimbulagala,-2.882360654,52,,Wennappuwa,325
53,Divulapitiya,1.364657283,53,,Kattankudy,123
54,Dodangoda,1.13642218,54,,Ambalantota,10
55,Doluwa,0.416744292,55,,Thumpane,286
56,Dompe,1.947389707,56,,Hambantota,84
57,Eheliyagoda,0.52429664,57,,Vavuniya,304
58,Ehetuwewa,-2.638835168,58,,Dankotuwa,43
59,Elahera,-3.02449643,59,,Ingiriya,97
60,Elapatha,-0.108154674,60,,Akkaraipattu,2
61,Ella,-0.419102357,61,,Dompe,56
