,dsd_name,code_7,gnd_name,dsd_name_x,dist_name,prov_name,dsd_id,dsd_name_y,district_name,headcount_index,n_poor
0,Hali Ela,8124120,Pahamunuthota,Hali Ela,Badulla,Uva,286,Hali Ela,Badulla,8.91,"7,915"
1,Hali Ela,8124015,Jangulla,Hali Ela,Badulla,Uva,286,Hali Ela,Badulla,8.91,"7,915"
2,Hali Ela,8124020,Landewela,Hali Ela,Badulla,Uva,286,Hali Ela,Badulla,8.91,"7,915"
3,Hali Ela,8124025,Bogoda,Hali Ela,Badulla,Uva,286,Hali Ela,Badulla,8.91,"7,915"
4,Hali Ela,8124030,Panakanniya,Hali Ela,Badulla,Uva,286,Hali Ela,Badulla,8.91,"7,915"
5,Hali Ela,8124045,Hethekma,Hali Ela,Badulla,Uva,286,Hali Ela,Badulla,8.91,"7,915"
6,Hali Ela,8124035,Ketawala,Hali Ela,Badulla,Uva,286,Hali Ela,Badulla,8.91,"7,915"
7,Hali Ela,8124065,Bogahamaditta,Hali Ela,Badulla,Uva,286,Hali Ela,Badulla,8.91,"7,915"
8,Hali Ela,8124060,Anthuduwawela,Hali Ela,Badulla,Uva,286,Hali Ela,Badulla,8.91,"7,915"
9,Hali Ela,8124055,Pattipola,Hali Ela,Badulla,Uva,286,Hali Ela,Badulla,8.91,"7,915"
10,Hali Ela,8124095,Dickwella,Hali Ela,Badulla,Uva,286,Hali Ela,Badulla,8.91,"7,915"
11,Hali Ela,8124210,Morethota,Hali Ela,Badulla,Uva,286,Hali Ela,Badulla,8.91,"7,915"
12,Hali Ela,8124080,Welikemulla,Hali Ela,Badulla,Uva,286,Hali Ela,Badulla,8.91,"7,915"
13,Hali Ela,8124070,Mahawattagama,Hali Ela,Badulla,Uva,286,Hali Ela,Badulla,8.91,"7,915"
14,Hali Ela,8124085,Unagolla,Hali Ela,Badulla,Uva,286,Hali Ela,Badulla,8.91,"7,915"
15,Hali Ela,8124135,Mugunumatha West,Hali Ela,Badulla,Uva,286,Hali Ela,Badulla,8.91,"7,915"
16,Hali Ela,8124090,Medapitigama,Hali Ela,Badulla,Uva,286,Hali Ela,Badulla,8.91,"7,915"
17,Hali Ela,8124125,Neludanda,Hali Ela,Badulla,Uva,286,Hali Ela,Badulla,8.91,"7,915"
18,Hali Ela,8124115,Gawela,Hali Ela,Badulla,Uva,286,Hali Ela,Badulla,8.91,"7,915"
19,Hali Ela,8124235,Niliathugoda,Hali Ela,Badulla,Uva,286,Hali Ela,Badulla,8.91,"7,915"
20,Hali Ela,8124050,Deegalla,Hali Ela,Badulla,Uva,286,Hali Ela,Badulla,8.91,"7,915"
21,Hali Ela,8124110,Udagama,Hali Ela,Badulla,Uva,286,Hali Ela,Badulla,8.91,"7,915"
22,Hali Ela,8124005,Kokatiyamaluwa,Hali Ela,Badulla,Uva,286,Hali Ela,Badulla,8.91,"7,915"
23,Hali Ela,8124010,Wegama,Hali Ela,Badulla,Uva,286,Hali Ela,Badulla,8.91,"7,915"
24,Hali Ela,8124230,Dehivinna,Hali Ela,Badulla,Uva,286,Hali Ela,Badulla,8.91,"7,915"
25,Hali Ela,8124100,Hali Ela,Hali Ela,Badulla,Uva,286,Hali Ela,Badulla,8.91,"7,915"
26,Hali Ela,8124105,Samagipura,Hali Ela,Badulla,Uva,286,Hali Ela,Badulla,8.91,"7,915"
27,Hali Ela,8124140,Mugunumatha East,Hali Ela,Badulla,Uva,286,Hali Ela,Badulla,8.91,"7,915"
28,Hali Ela,8124200,Hapuwalakumbura,Hali Ela,Badulla,Uva,286,Hali Ela,Badulla,8.91,"7,915"
29,Hali Ela,8124195,Uduwara,Hali Ela,Badulla,Uva,286,Hali Ela,Badulla,8.91,"7,915"
30,Hali Ela,8124190,Wewelhinna,Hali Ela,Badulla,Uva,286,Hali Ela,Badulla,8.91,"7,915"
31,Hali Ela,8124185,Beddegama,Hali Ela,Badulla,Uva,286,Hali Ela,Badulla,8.91,"7,915"
32,Hali Ela,8124180,Springvalley,Hali Ela,Badulla,Uva,286,Hali Ela,Badulla,8.91,"7,915"
33,Hali Ela,8124175,Springvalley Estate,Hali Ela,Badulla,Uva,286,Hali Ela,Badulla,8.91,"7,915"
34,Hali Ela,8124145,Godegama,Hali Ela,Badulla,Uva,286,Hali Ela,Badulla,8.91,"7,915"
35,Hali Ela,8124165,Kandana,Hali Ela,Badulla,Uva,286,Hali Ela,Badulla,8.91,"7,915"
36,Hali Ela,8124150,Medagama,Hali Ela,Badulla,Uva,286,Hali Ela,Badulla,8.91,"7,915"
37,Hali Ela,8124155,Imbulgoda,Hali Ela,Badulla,Uva,286,Hali Ela,Badulla,8.91,"7,915"
38,Hali Ela,8124220,Etampitiya,Hali Ela,Badulla,Uva,286,Hali Ela,Badulla,8.91,"7,915"
39,Hali Ela,8124130,Hinnarangolla,Hali Ela,Badulla,Uva,286,Hali Ela,Badulla,8.91,"7,915"
40,Hali Ela,8124245,Kudumahuwela,Hali Ela,Badulla,Uva,286,Hali Ela,Badulla,8.91,"7,915"
41,Hali Ela,8124250,Wepassawela,Hali Ela,Badulla,Uva,286,Hali Ela,Badulla,8.91,"7,915"
42,Hali Ela,8124275,Malitta,Hali Ela,Badulla,Uva,286,Hali Ela,Badulla,8.91,"7,915"
43,Hali Ela,8124260,Perahettiya,Hali Ela,Badulla,Uva,286,Hali Ela,Badulla,8.91,"7,915"
44,Hali Ela,8124280,Kurukude,Hali Ela,Badulla,Uva,286,Hali Ela,Badulla,8.91,"7,915"
45,Hali Ela,8124255,Maligathenna,Hali Ela,Badulla,Uva,286,Hali Ela,Badulla,8.91,"7,915"
46,Hali Ela,8124265,Katugaha,Hali Ela,Badulla,Uva,286,Hali Ela,Badulla,8.91,"7,915"
47,Hali Ela,8124170,Bulathwatta,Hali Ela,Badulla,Uva,286,Hali Ela,Badulla,8.91,"7,915"
48,Hali Ela,8124160,Kottagoda,Hali Ela,Badulla,Uva,286,Hali Ela,Badulla,8.91,"7,915"
