gnd_id,urbanity
5248085,Rural
5218215,Rural
5234020,Rural
5212110,Rural
5206065,Rural
5216070,Rural
5218130,Rural
5239075,Rural
5248100,Rural
5236020,Rural
5218155,Rural
5209060,Rural
5239040,Rural
5242080,Rural
5212215,Rural
5206060,Rural
5230110,Rural
5218185,Rural
5209070,Rural
5209080,Rural
5206075,Rural
5242085,Rural
5209050,Rural
5230020,Rural
5230065,Rural
5206030,Rural
5245005,Rural
5218030,Rural
5212240,Rural
5209030,Rural
5206005,Rural
5216015,Rural
5242105,Rural
5212245,Rural
5227080,Rural
5230090,Rural
5216080,Rural
5206020,Rural
5212265,Rural
5248120,Rural
5212040,Rural
5242060,Rural
5209035,Rural
5212085,Rural
5245020,Rural
5218245,Rural
5218070,Rural
5212010,Rural
5242035,Rural
5230030,Rural
5233025,Rural
5209065,Rural
5248010,Rural
5230010,Rural
5233090,Rural
5245075,Rural
5212275,Rural
5227030,Rural
5242145,Rural
5234050,Rural
5230055,Rural
5239095,Rural
5234055,Rural
5245040,Rural
5215110,Rural
5234025,Rural
5248050,Rural
5218165,Rural
5233020,Rural
5227055,Rural
5218145,Rural
5203030,Rural
5218250,Rural
5218110,Rural
5218075,Rural
5239010,Rural
5212025,Rural
5230080,Rural
5242050,Rural
5248075,Rural
5227060,Rural
5209075,Rural
5216060,Rural
5206035,Rural
5233050,Rural
5218180,Rural
5245035,Rural
5230085,Rural
5216055,Rural
5233005,Rural
5233035,Rural
5215095,Rural
5227005,Rural
5209085,Rural
5218235,Rural
5230125,Rural
5242075,Rural
5209025,Rural
5233155,Rural
5218225,Rural
5239055,Rural
5248045,Rural
5212140,Rural
5248035,Rural
5230050,Rural
5233080,Rural
5203065,Rural
5242030,Rural
5245085,Rural
5218090,Rural
5216100,Rural
5203015,Rural
5251050,Rural
5234060,Rural
5248110,Rural
5218015,Rural
5203010,Rural
5245050,Rural
5209005,Rural
5236030,Rural
5227085,Rural
5239025,Rural
5212150,Rural
5209020,Rural
5242120,Rural
5251045,Rural
5215090,Rural
5212180,Rural
5245055,Rural
5233070,Rural
5206095,Rural
5233135,Rural
5239020,Rural
5230115,Rural
5209045,Rural
5248005,Rural
5245100,Rural
5242160,Rural
5216095,Rural
5234045,Rural
5218255,Rural
5212090,Rural
5216065,Rural
5242020,Rural
5212175,Rural
5212125,Rural
5242025,Rural
5245025,Rural
5206025,Rural
5206085,Rural
5216010,Rural
5203045,Rural
5227040,Rural
5248055,Rural
5212255,Rural
5206070,Rural
5242140,Rural
5239060,Rural
5212015,Rural
5209015,Rural
5218195,Rural
5236120,Rural
5233125,Rural
5248095,Rural
5218205,Rural
5242055,Rural
5218040,Rural
5233140,Rural
5233010,Rural
5218020,Rural
5212195,Rural
5212135,Rural
5251060,Rural
5227015,Rural
5239035,Rural
5218025,Rural
5206015,Rural
5227050,Rural
