dsd_id,dsd_name,district_name,headcount_index,n_poor
10,Dehiwala,Colombo,0.62,533
7,Maharagama,Colombo,1.09,"2,035"
8,Sri Jayawardanapura Kotte,Colombo,1.2,"1,224"
9,Thimbirigasyaya,Colombo,1.29,"2,766"
11,Rathmalana,Colombo,1.57,"1,439"
14,Negombo,Gampaha,1.66,"2,305"
13,Kesbewa,Colombo,1.85,"4,390"
3,Kaduwela,Colombo,1.93,"4,733"
259,Nuwaragam Palatha East,Anuradhapura,1.96,"1,290"
25,Kelaniya,Gampaha,2.16,"2,822"
19,Wattala,Gampaha,2.68,"4,567"
4,Homagama,Colombo,2.75,"6,335"
21,Gampaha,Gampaha,2.86,"5,562"
27,Panadura,Kalutara,2.88,"5,155"
2,Kolonnawa,Colombo,2.92,"5,455"
20,Ja-Ela,Gampaha,3.08,"6,072"
181,Sainthamarathu,Ampara,3.16,800
26,Biyagama,Gampaha,3.33,"6,068"
12,Moratuwa,Colombo,3.68,"5,979"
276,Thamankaduwa,Polonnaruwa,3.69,"2,923"
24,Mahara,Gampaha,3.7,"7,507"
123,Tangalle,Hambantota,3.71,"2,627"
109,Matara Four Gravets,Matara,3.8,"4,237"
29,Horana,Kalutara,3.95,"4,391"
1,Colombo,Colombo,3.97,"12,378"
28,Bandaragama,Kalutara,3.98,"4,273"
15,Katana,Gampaha,4.07,"9,288"
180,Kalmunai,Ampara,4.14,"1,827"
50,Kandy Four Gravets and Gangawata Korale,Kandy,4.17,"6,118"
34,Kaluthara,Kalutara,4.2,"6,499"
271,Hingurakgoda,Polonnaruwa,4.26,"2,624"
221,Kurunegala,Kurunegala,4.33,"3,390"
32,Madurawala,Kalutara,4.41,"1,495"
6,Padukka,Colombo,4.53,"2,893"
182,Karativu,Ampara,4.62,770
22,Attanagalla,Gampaha,4.63,"8,085"
176,Ampara,Ampara,4.67,"1,940"
198,Kantale,Trincomalee,4.69,"2,120"
220,Maspotha,Kurunegala,4.7,"1,584"
196,Trincomalee Town and Gravets,Trincomalee,4.72,"4,489"
18,Minuwangoda,Gampaha,4.85,"8,508"
145,Vavuniya South,Vavunia,4.86,604
285,Badulla,Badulla,4.89,"3,507"
