threshold,precision,recall
140,0.9071428571428571,0.3182957393483709
280,0.8,0.5614035087719298
420,0.6928571428571428,0.7293233082706767
559,0.590339892665474,0.8270676691729323
699,0.5121602288984263,0.8972431077694235
839,0.4469606674612634,0.9398496240601504
979,0.39325842696629215,0.9649122807017544
1119,0.34763181411974975,0.974937343358396
1259,0.31056393963463064,0.9799498746867168
1398,0.2811158798283262,0.9849624060150376
1538,0.2574772431729519,0.9924812030075187
1678,0.2365911799761621,0.9949874686716792
1818,0.21837183718371836,0.9949874686716792
1958,0.20326864147088866,0.9974937343358395
2098,0.18970448045757865,0.9974937343358395
2238,0.1778373547810545,0.9974937343358395
2377,0.16743794699200673,0.9974937343358395
2517,0.15812475168851808,0.9974937343358395
2657,0.14979299962363568,0.9974937343358395
2797,0.142652842331069,1.0
140,0.8714285714285714,0.3112244897959184
280,0.7642857142857142,0.5459183673469388
420,0.6571428571428571,0.7040816326530612
559,0.5599284436493739,0.798469387755102
699,0.4821173104434907,0.8596938775510204
839,0.4302741358760429,0.9209183673469388
979,0.38100102145045966,0.951530612244898
1119,0.34048257372654156,0.9719387755102041
1259,0.30420969023034156,0.9770408163265306
1398,0.2753934191702432,0.9821428571428571
1538,0.252925877763329,0.9923469387755102
1678,0.232419547079857,0.9948979591836735
1818,0.2145214521452145,0.9948979591836735
1958,0.20020429009193055,1.0
2098,0.18684461391801716,1.0
2238,0.17515638963360142,1.0
2377,0.16491375683634835,1.0
2517,0.15574096146205801,1.0
2657,0.14753481369966126,1.0
2797,0.1401501608866643,1.0
140,0.8785714285714286,0.3253968253968254
280,0.725,0.5370370370370371
420,0.6357142857142857,0.7063492063492064
559,0.5330948121645797,0.7883597883597884
699,0.4678111587982833,0.8650793650793651
839,0.41835518474374256,0.9285714285714286
979,0.36976506639427986,0.9576719576719577
1119,0.3315460232350313,0.9814814814814815
1259,0.2962668784749801,0.9867724867724867
1398,0.2675250357653791,0.9894179894179894
1538,0.24382314694408322,0.9920634920634921
1678,0.22407628128724671,0.9947089947089947
1818,0.20737073707370737,0.9973544973544973
1958,0.1930541368743616,1.0
2098,0.1801715919923737,1.0
2238,0.16890080428954424,1.0
2377,0.15902397980647875,1.0
2517,0.1501787842669845,1.0
2657,0.14226571321038767,1.0
2797,0.13514479799785484,1.0
140,0.8857142857142857,0.30617283950617286
280,0.7535714285714286,0.5209876543209877
420,0.6452380952380953,0.6691358024691358
559,0.5635062611806798,0.7777777777777778
699,0.4978540772532189,0.8592592592592593
839,0.4433849821215733,0.9185185185185185
979,0.3922369765066394,0.9481481481481482
1119,0.35031277926720283,0.9679012345679012
1259,0.3129467831612391,0.9728395061728395
1398,0.2832618025751073,0.9777777777777777
1538,0.26007802340702213,0.9876543209876543
1678,0.2395709177592372,0.9925925925925926
1818,0.22167216721672167,0.9950617283950617
1958,0.20582226762002043,0.9950617283950617
2098,0.19256434699714015,0.9975308641975309
2238,0.1805183199285076,0.9975308641975309
2377,0.16996213714766512,0.9975308641975309
2517,0.16050854191497815,0.9975308641975309
2657,0.15205118554761007,0.9975308641975309
2797,0.14479799785484448,1.0
140,0.8857142857142857,0.31794871794871793
280,0.7321428571428571,0.5256410256410257
420,0.611904761904762,0.658974358974359
559,0.5420393559928444,0.7769230769230769
699,0.474964234620887,0.8512820512820513
839,0.4231227651966627,0.9102564102564102
979,0.37895812053115424,0.9512820512820512
1119,0.33958891867739055,0.9743589743589743
1259,0.3034154090548054,0.9794871794871794
1398,0.2753934191702432,0.9871794871794872
1538,0.25227568270481143,0.9948717948717949
1678,0.23182359952324194,0.9974358974358974
1818,0.21397139713971397,0.9974358974358974
1958,0.19918283963227784,1.0
2098,0.18589132507149667,1.0
2238,0.1742627345844504,1.0
2377,0.16407236011779555,1.0
2517,0.15494636471990464,1.0
2657,0.14678208505833648,1.0
2797,0.1394351090454058,1.0
140,0.8785714285714286,0.3137755102040816
280,0.7357142857142858,0.5255102040816326
420,0.638095238095238,0.6836734693877551
559,0.552772808586762,0.7882653061224489
699,0.4864091559370529,0.8673469387755102
839,0.43504171632896305,0.9311224489795918
979,0.38508682328907046,0.9617346938775511
1119,0.34763181411974975,0.9923469387755102
1259,0.3089753772835584,0.9923469387755102
1398,0.2782546494992847,0.9923469387755102
1538,0.2542262678803641,0.9974489795918368
1678,0.233015494636472,0.9974489795918368
1818,0.21507150715071507,0.9974489795918368
1958,0.20020429009193055,1.0
2098,0.18684461391801716,1.0
2238,0.17515638963360142,1.0
2377,0.16491375683634835,1.0
2517,0.15574096146205801,1.0
2657,0.14753481369966126,1.0
2797,0.1401501608866643,1.0
140,0.9,0.31265508684863524
280,0.7964285714285714,0.5533498759305211
420,0.680952380952381,0.7096774193548387
559,0.5885509838998211,0.8163771712158809
699,0.5064377682403434,0.8784119106699751
839,0.4505363528009535,0.9379652605459057
979,0.39427987742594484,0.9578163771712159
1119,0.3512064343163539,0.9751861042183623
1259,0.31374106433677523,0.9801488833746899
1398,0.2854077253218884,0.9900744416873449
1538,0.26007802340702213,0.9925558312655087
1678,0.23897497020262218,0.9950372208436724
1818,0.22057205720572057,0.9950372208436724
1958,0.20531154239019409,0.9975186104218362
2098,0.19161105815061963,0.9975186104218362
2238,0.17962466487935658,0.9975186104218362
2377,0.16912074042911232,0.9975186104218362
2517,0.15971394517282478,0.9975186104218362
2657,0.1516748212269477,1.0
2797,0.14408294601358598,1.0
140,0.8714285714285714,0.31443298969072164
280,0.7357142857142858,0.5309278350515464
420,0.6333333333333333,0.6855670103092784
559,0.5438282647584973,0.7835051546391752
699,0.47639484978540775,0.8582474226804123
839,0.4231227651966627,0.9149484536082474
979,0.3748723186925434,0.9458762886597938
1119,0.3351206434316354,0.9664948453608248
1259,0.2994440031771247,0.9716494845360825
1398,0.271101573676681,0.9768041237113402
1538,0.24902470741222366,0.9871134020618557
1678,0.22884386174016685,0.9896907216494846
1818,0.21122112211221122,0.9896907216494846
1958,0.19662921348314608,0.9922680412371134
2098,0.18446139180171592,0.9974226804123711
2238,0.17292225201072386,0.9974226804123711
2377,0.16281026503996635,0.9974226804123711
2517,0.1541517679777513,1.0
2657,0.14602935641701167,1.0
2797,0.1387200572041473,1.0
140,0.8785714285714286,0.29854368932038833
280,0.75,0.5097087378640777
420,0.6523809523809524,0.6650485436893204
559,0.5652951699463328,0.7669902912621359
699,0.49928469241773965,0.8470873786407767
839,0.44576877234803336,0.9077669902912622
979,0.39632277834525026,0.941747572815534
1119,0.35656836461126007,0.9684466019417476
1259,0.3177124702144559,0.970873786407767
1398,0.2882689556509299,0.9781553398058253
1538,0.2633289986996099,0.9830097087378641
1678,0.24255065554231228,0.9878640776699029
1818,0.22442244224422442,0.9902912621359223
1958,0.2093973442288049,0.9951456310679612
2098,0.19590085795996187,0.9975728155339806
2238,0.1836461126005362,0.9975728155339806
2377,0.1729070256625999,0.9975728155339806
2517,0.16368692888359157,1.0
2657,0.1550621001129093,1.0
2797,0.1473006792992492,1.0
140,0.8857142857142857,0.31876606683804626
280,0.7464285714285714,0.5372750642673522
420,0.6428571428571429,0.6940874035989717
559,0.554561717352415,0.7969151670951157
699,0.4792560801144492,0.8611825192802056
839,0.42550655542312277,0.9177377892030848
979,0.37793667007150156,0.9511568123393316
1119,0.3360142984807864,0.9665809768637532
1259,0.3018268467037331,0.9768637532133676
1398,0.2732474964234621,0.9820051413881749
1538,0.2503250975292588,0.9897172236503856
1678,0.2306317044100119,0.9948586118251928
1818,0.21287128712871287,0.9948586118251928
1958,0.19867211440245147,1.0
2098,0.1854146806482364,1.0
2238,0.17381590705987487,1.0
2377,0.16365166175851914,1.0
2517,0.15454906634882798,1.0
2657,0.14640572073767408,1.0
2797,0.13907758312477655,1.0
140,0.8928571428571429,0.3306878306878307
280,0.75,0.5555555555555556
420,0.65,0.7222222222222222
559,0.5491949910554562,0.8121693121693122
699,0.47782546494992845,0.8835978835978836
839,0.4171632896305125,0.9259259259259259
979,0.3707865168539326,0.9603174603174603
1119,0.33065236818588023,0.9788359788359788
1259,0.29388403494837173,0.9788359788359788
1398,0.265379113018598,0.9814814814814815
1538,0.2425227568270481,0.9867724867724867
1678,0.22407628128724671,0.9947089947089947
1818,0.2068206820682068,0.9947089947089947
1958,0.19254341164453523,0.9973544973544973
2098,0.17969494756911344,0.9973544973544973
2238,0.16845397676496873,0.9973544973544973
2377,0.15860328144720234,0.9973544973544973
2517,0.1501787842669845,1.0
2657,0.14226571321038767,1.0
2797,0.13514479799785484,1.0
140,0.8714285714285714,0.3152454780361757
280,0.75,0.5426356589147286
420,0.6547619047619048,0.710594315245478
559,0.5438282647584973,0.7855297157622739
699,0.47782546494992845,0.8630490956072352
839,0.42431466030989273,0.9198966408268734
979,0.37895812053115424,0.958656330749354
1119,0.3378016085790885,0.9767441860465116
1259,0.30023828435266087,0.9767441860465116
1398,0.271101573676681,0.979328165374677
1538,0.24772431729518857,0.9844961240310077
1678,0.22884386174016685,0.9922480620155039
1818,0.21122112211221122,0.9922480620155039
1958,0.19713993871297242,0.9974160206718347
2098,0.18446139180171592,1.0
2238,0.17292225201072386,1.0
2377,0.16281026503996635,1.0
2517,0.1537544696066746,1.0
2657,0.14565299209634927,1.0
2797,0.13836253128351805,1.0
140,0.8928571428571429,0.3306878306878307
280,0.75,0.5555555555555556
420,0.6238095238095238,0.6931216931216931
